,APPROACHING BOUNDARY,BEYOND BOUNDARY,WITHIN BOUNDS
Empirical (tiered) thresholds,12.499206673070752,60.37756146669204,27.1232318602372
Literature: 2.0% SOC,7.938740148984677,73.39608710364158,18.66517274737374
Literature: 1.1% SOC,5.064903808096397,36.37616944230117,58.55892674960243
