Response,"Empirical (tiered) threshold, % below","2.0% SOC (20 g/kg), % below","1.1% SOC (11 g/kg), % below"
Physical (Bulk Density),55.8123176892775,78.91239466752992,47.261613825139605
Chemical (pH),50.85141156678728,78.91239466752992,47.261613825139605
Chemical (CEC),49.696337584554975,78.91239466752992,47.261613825139605
Ecosystem (NPP),64.86919392942627,78.91239466752992,47.261613825139605
