Ecoregion_id,Ecoregion,n_cells,area_km2,F_2010_mean,D_2010_pct
1,Andaman Islands rain forests,59.0,4958.479613745922,0.9810898505308155,1.8910149549858466
3,Brahmaputra Valley semi-evergreen forests,721.0,55356.83589260941,0.9563491297296236,4.365087017123793
4,Central Deccan Plateau dry deciduous forests,2949.0,240107.7721657008,0.8875891379120716,11.241086143581668
5,Central Tibetan Plateau alpine steppe,183.0,12934.03511290209,0.7822119685265673,21.778803065533094
6,Chhota-Nagpur dry deciduous forests,1553.0,122432.35291741055,0.9286565960769956,7.1343403971347135
7,Chin Hills-Arakan Yoma montane forests,4.0,315.6567127743606,1.0003414954661378,-0.0341495466137808
8,Deccan thorn scrub forests,4072.0,336528.5931687439,0.9020859424215882,9.791405721290532
9,East Deccan dry-evergreen forests,301.0,25338.464751809664,0.86806584937231,13.193414948016917
10,Eastern highlands moist deciduous forests,4234.0,341065.5512338924,0.8868525366870763,11.314746270824594
11,Eastern Himalayan alpine shrub and meadows,196.0,14835.532486182949,0.9589859748085554,4.101402520319761
12,Eastern Himalayan broadleaf forests,711.0,54125.18180192758,0.9911009988246876,0.8899001121567696
13,Eastern Himalayan subalpine conifer forests,173.0,13135.411160254556,0.9897148680599339,1.0285131884438976
14,Goadavari-Krishna mangroves,79.0,6512.611783370691,0.8811293191277502,11.887068033201322
15,Himalayan subtropical broadleaf forests,108.0,8243.580919717639,0.9287593536686602,7.124064586756877
16,Himalayan subtropical pine forests,610.0,44889.41595229267,0.9220415279028297,7.795847172999407
17,Indus River Delta-Arabian Sea mangroves,37.0,2963.2151539544066,0.9314636469415639,6.853635273298759
18,Karakoram-West Tibetan Plateau alpine steppe,1297.0,91788.88345478609,0.9324552441752225,6.7544755516697945
19,Khathiar-Gir dry deciduous forests,3406.0,266648.53272734093,0.8868167242452549,11.31832747346224
20,Lower Gangetic Plains moist deciduous forests,1980.0,154391.44042183115,0.8984046897952024,10.159530974221978
21,Malabar Coast moist forests,434.0,36301.24207501528,0.9201918890010475,7.980811049747249
23,Meghalaya subtropical forests,554.0,42955.70657163065,0.9696142300187349,3.0385769968222074
24,Mizoram-Manipur-Kachin rain forests,795.0,62310.53224215691,0.9888469094494226,1.1153090532590266
25,Narmada Valley dry deciduous forests,2128.0,168785.90141650027,0.907358274681521,9.264172456077867
26,Nicobar Islands rain forests,10.0,854.1186053491309,1.0012921503776213,-0.12921503776211082
27,North Tibetan Plateau-Kunlun Mountains alpine desert,173.0,12125.55908097194,0.8181086554387861,18.189134333371516
28,North Western Ghats moist deciduous forests,586.0,48087.185793239005,0.9126449167973378,8.735508259177696
29,North Western Ghats montane rain forests,370.0,30702.86088013231,0.9396845306165403,6.031546899369018
30,Northeast India-Myanmar pine forests,141.0,10956.649560798141,0.9759004004576343,2.409959971173622
31,Northeastern Himalayan subalpine conifer forests,83.0,6273.090395795097,0.9693885228502109,3.061147697616441
32,Northern dry deciduous forests,722.0,58199.542250512946,0.9209657495273257,7.90342496109248
33,Northern Triangle temperate forests,3.0,229.71532289853786,1.0,0.0
34,Northwestern Himalayan alpine shrub and meadows,375.0,26950.07680306824,0.9487217332247703,5.127826681805997
35,Northwestern thorn scrub forests,3229.0,247927.72716573862,0.9055617256873734,9.443827394632404
36,Orissa semi-evergreen forests,268.0,21633.031106844264,0.8763302711074596,12.366972815374972
37,Pamir alpine desert and tundra,3.0,206.14559468511692,0.984573539384489,1.5426461409949255
38,Rann of Kutch seasonal salt marsh,243.0,19127.530194818475,0.9980227141343804,0.19772858456168158
39,Rock and Ice,221.0,15891.063724234853,0.9252446390100011,7.475536038075784
40,South Deccan Plateau dry deciduous forests,980.0,82563.79504686309,0.9024429867322328,9.755701261266148
41,South Western Ghats moist deciduous forests,274.0,23159.67473918952,0.9519369665237504,4.806303318148
42,South Western Ghats montane rain forests,272.0,22980.59538581811,0.9758108540640055,2.418914589216121
43,Sundarbans freshwater swamp forests,93.0,7389.141311644404,0.9155872523459253,8.441274683430782
44,Sundarbans mangroves,56.0,4470.753440361443,0.9638904622764914,3.610953738245481
45,Terai-Duar savanna and grasslands,195.0,14864.513622025777,0.9353021079133168,6.4697891854116385
46,Thar desert,2166.0,165349.50527761393,0.9574956783453001,4.250432171896631
47,Upper Gangetic Plains moist deciduous forests,3446.0,264071.2023631436,0.8444942982996427,15.550570107985326
48,Western Himalayan alpine shrub and Meadows,180.0,13291.939027218103,0.9331678956174791,6.683210427710507
49,Western Himalayan broadleaf forests,670.0,48609.52606230635,0.9528129079613564,4.718709175639684
50,Western Himalayan subalpine conifer forests,164.0,11773.070666109172,0.9290935219934876,7.0906477906109115
